account_id,district_id,frequency,date
2444,76,POPLATEK MESICNE,1997-09-07
3882,10,POPLATEK MESICNE,1993-07-09
3128,1,POPLATEK MESICNE,1995-01-06
3146,68,POPLATEK MESICNE,1993-10-26
491,44,POPLATEK MESICNE,1996-05-12
2775,30,POPLATEK MESICNE,1997-12-08
2004,42,POPLATEK MESICNE,1996-08-04
161,28,POPLATEK MESICNE,1994-07-04
4343,31,POPLATEK MESICNE,1993-11-22
3841,8,POPLATEK MESICNE,1995-01-22
436,30,POPLATEK MESICNE,1996-08-07
2423,30,POPLATEK MESICNE,1993-02-14
3759,1,POPLATEK MESICNE,1993-12-29
1528,50,POPLATEK MESICNE,1996-06-08
1561,66,POPLATEK MESICNE,1995-04-01
3939,70,POPLATEK MESICNE,1993-07-08
716,47,POPLATEK MESICNE,1994-09-25
5442,34,POPLATEK MESICNE,1993-03-22
2873,70,POPLATEK MESICNE,1996-12-13
1959,62,POPLATEK MESICNE,1993-12-24
2594,19,POPLATEK PO OBRATU,1997-05-03
2070,72,POPLATEK MESICNE,1993-01-29
3472,55,POPLATEK MESICNE,1996-07-21
3910,10,POPLATEK MESICNE,1997-01-19
5891,54,POPLATEK MESICNE,1993-01-25
1186,64,POPLATEK MESICNE,1997-12-17
1691,48,POPLATEK MESICNE,1995-11-08
1515,11,POPLATEK MESICNE,1993-06-11
3672,26,POPLATEK MESICNE,1996-03-19
938,70,POPLATEK MESICNE,1997-12-13
5196,13,POPLATEK TYDNE,1997-06-29
3332,17,POPLATEK MESICNE,1997-03-25
494,60,POPLATEK MESICNE,1993-03-11
10243,44,POPLATEK MESICNE,1997-09-03
8405,20,POPLATEK MESICNE,1994-05-10
3824,41,POPLATEK MESICNE,1994-03-20
1687,23,POPLATEK MESICNE,1997-04-18
1956,63,POPLATEK MESICNE,1997-05-23
6472,61,POPLATEK MESICNE,1994-02-08
3849,75,POPLATEK MESICNE,1994-10-21
212,27,POPLATEK TYDNE,1993-01-20
465,32,POPLATEK MESICNE,1993-02-04
2738,41,POPLATEK MESICNE,1993-11-12
3614,19,POPLATEK MESICNE,1996-08-07
988,10,POPLATEK MESICNE,1994-10-22
2132,76,POPLATEK MESICNE,1993-10-08
2672,59,POPLATEK MESICNE,1997-03-14
3730,17,POPLATEK MESICNE,1994-09-08
758,51,POPLATEK MESICNE,1997-12-19
1257,66,POPLATEK MESICNE,1995-10-11
3421,31,POPLATEK MESICNE,1995-02-01
3169,19,POPLATEK MESICNE,1997-12-19
1938,1,POPLATEK MESICNE,1994-06-25
3343,1,POPLATEK MESICNE,1997-08-03
3877,59,POPLATEK MESICNE,1996-10-22
268,3,POPLATEK MESICNE,1996-05-29
167,29,POPLATEK TYDNE,1996-02-26
303,71,POPLATEK MESICNE,1996-07-25
1640,13,POPLATEK MESICNE,1995-09-01
1535,46,POPLATEK MESICNE,1993-03-20
8759,1,POPLATEK MESICNE,1993-09-18
6289,64,POPLATEK MESICNE,1995-04-05
1436,3,POPLATEK MESICNE,1994-12-07
2143,1,POPLATEK MESICNE,1996-01-13
24,74,POPLATEK MESICNE,1996-12-05
2814,72,POPLATEK MESICNE,1993-04-25
731,5,POPLATEK MESICNE,1995-07-11
435,38,POPLATEK MESICNE,1993-01-08
3963,9,POPLATEK MESICNE,1997-10-27
315,45,POPLATEK MESICNE,1997-12-08
4729,66,POPLATEK MESICNE,1997-05-23
4000,7,POPLATEK MESICNE,1993-08-02
2064,54,POPLATEK MESICNE,1996-12-30
848,31,POPLATEK MESICNE,1996-06-16
2715,42,POPLATEK MESICNE,1997-10-06
815,56,POPLATEK MESICNE,1993-08-25
3442,4,POPLATEK MESICNE,1996-01-16
450,59,POPLATEK MESICNE,1996-05-28
2792,1,POPLATEK MESICNE,1996-08-26
3448,58,POPLATEK TYDNE,1996-06-06
2767,54,POPLATEK MESICNE,1996-03-23
339,46,POPLATEK TYDNE,1996-09-11
1973,71,POPLATEK MESICNE,1996-06-05
1694,6,POPLATEK TYDNE,1993-08-29
1805,1,POPLATEK MESICNE,1993-02-02
803,19,POPLATEK MESICNE,1995-09-09
2020,13,POPLATEK MESICNE,1993-09-04
2360,26,POPLATEK MESICNE,1996-08-27
1540,1,POPLATEK MESICNE,1995-03-29
4286,43,POPLATEK MESICNE,1996-11-11
1416,66,POPLATEK TYDNE,1993-07-12
3208,29,POPLATEK MESICNE,1997-08-04
9179,28,POPLATEK MESICNE,1997-01-21
1449,35,POPLATEK MESICNE,1993-08-26
1646,1,POPLATEK TYDNE,1996-05-27
703,54,POPLATEK MESICNE,1997-12-21
10049,17,POPLATEK MESICNE,1996-03-28
2388,30,POPLATEK MESICNE,1993-06-09
2821,54,POPLATEK MESICNE,1996-07-12
2632,24,POPLATEK MESICNE,1993-01-02
2122,68,POPLATEK MESICNE,1993-01-08
2764,53,POPLATEK MESICNE,1996-08-15
6400,31,POPLATEK PO OBRATU,1995-10-09
2328,35,POPLATEK MESICNE,1995-06-14
3458,63,POPLATEK MESICNE,1995-07-07
2038,42,POPLATEK MESICNE,1993-08-06
2765,69,POPLATEK MESICNE,1997-09-20
4537,53,POPLATEK TYDNE,1996-07-18
1390,69,POPLATEK MESICNE,1996-12-30
3274,76,POPLATEK MESICNE,1997-09-17
3731,70,POPLATEK MESICNE,1996-05-20
1874,9,POPLATEK MESICNE,1993-03-27
1142,74,POPLATEK MESICNE,1995-10-19
1632,18,POPLATEK TYDNE,1996-01-13
2351,74,POPLATEK MESICNE,1997-09-08
10361,21,POPLATEK MESICNE,1996-06-21
3337,58,POPLATEK PO OBRATU,1997-02-22
10911,1,POPLATEK TYDNE,1993-05-29
3249,74,POPLATEK MESICNE,1996-10-11
2197,46,POPLATEK MESICNE,1997-07-26
503,1,POPLATEK MESICNE,1996-08-08
2788,54,POPLATEK MESICNE,1994-10-12
2863,14,POPLATEK MESICNE,1996-01-21
2404,8,POPLATEK MESICNE,1997-06-05
1807,21,POPLATEK MESICNE,1997-10-15
7033,75,POPLATEK MESICNE,1996-07-03
8713,53,POPLATEK MESICNE,1997-05-18
2867,30,POPLATEK MESICNE,1993-11-04
4458,60,POPLATEK MESICNE,1996-04-23
2619,20,POPLATEK MESICNE,1996-05-13
743,10,POPLATEK MESICNE,1993-11-05
54,4,POPLATEK MESICNE,1995-05-02
729,14,POPLATEK MESICNE,1997-02-15
3763,55,POPLATEK MESICNE,1995-08-23
2049,67,POPLATEK MESICNE,1997-12-19
5033,54,POPLATEK MESICNE,1995-08-03
958,72,POPLATEK MESICNE,1996-06-06
2679,67,POPLATEK MESICNE,1997-07-24
27,73,POPLATEK MESICNE,1993-09-26
3603,3,POPLATEK MESICNE,1997-09-17
3747,1,POPLATEK MESICNE,1994-05-01
2711,58,POPLATEK MESICNE,1993-05-19
3623,59,POPLATEK MESICNE,1995-02-12
314,15,POPLATEK PO OBRATU,1996-01-26
313,73,POPLATEK MESICNE,1996-07-06
3028,27,POPLATEK MESICNE,1993-09-15
8680,17,POPLATEK MESICNE,1996-02-12
2231,2,POPLATEK MESICNE,1997-10-14
141,38,POPLATEK MESICNE,1996-03-06
9153,9,POPLATEK MESICNE,1996-12-12
4352,2,POPLATEK MESICNE,1993-07-05
1101,4,POPLATEK MESICNE,1997-09-22
935,23,POPLATEK MESICNE,1996-12-25
3670,27,POPLATEK MESICNE,1993-06-04
460,1,POPLATEK MESICNE,1994-04-18
2299,1,POPLATEK MESICNE,1997-01-21
2724,11,POPLATEK MESICNE,1996-08-09
290,56,POPLATEK MESICNE,1993-12-02
486,33,POPLATEK MESICNE,1995-11-21
2211,61,POPLATEK PO OBRATU,1997-11-10
1423,76,POPLATEK MESICNE,1995-09-08
1699,53,POPLATEK MESICNE,1993-01-14
143,21,POPLATEK MESICNE,1996-11-27
8159,26,POPLATEK MESICNE,1995-02-08
1647,1,POPLATEK MESICNE,1997-07-09
3581,66,POPLATEK MESICNE,1997-03-26
4596,74,POPLATEK MESICNE,1993-03-09
1496,57,POPLATEK MESICNE,1995-02-05
18,43,POPLATEK TYDNE,1993-05-26
3949,54,POPLATEK MESICNE,1996-01-11
3874,51,POPLATEK MESICNE,1995-06-02
2535,61,POPLATEK MESICNE,1997-01-21
1468,54,POPLATEK MESICNE,1993-10-11
11327,7,POPLATEK MESICNE,1997-10-15
713,58,POPLATEK MESICNE,1996-10-15
1042,43,POPLATEK MESICNE,1994-04-03
6512,34,POPLATEK TYDNE,1996-02-03
1157,7,POPLATEK MESICNE,1993-03-27
1218,1,POPLATEK MESICNE,1996-12-12
7180,7,POPLATEK TYDNE,1997-06-12
3729,31,POPLATEK MESICNE,1995-04-14
3846,61,POPLATEK MESICNE,1997-04-27
6158,67,POPLATEK MESICNE,1996-05-13
1440,55,POPLATEK MESICNE,1993-09-22
3001,1,POPLATEK MESICNE,1993-03-24
2558,46,POPLATEK MESICNE,1997-08-04
1571,66,POPLATEK MESICNE,1996-07-29
898,71,POPLATEK MESICNE,1996-03-27
852,57,POPLATEK MESICNE,1997-10-23
1664,56,POPLATEK MESICNE,1993-11-15
253,46,POPLATEK MESICNE,1995-12-05
588,66,POPLATEK MESICNE,1993-03-14
3863,15,POPLATEK MESICNE,1993-09-14
1308,54,POPLATEK MESICNE,1996-09-25
5385,44,POPLATEK TYDNE,1993-05-21
3659,54,POPLATEK MESICNE,1997-02-01
7454,4,POPLATEK MESICNE,1993-04-19
2421,18,POPLATEK MESICNE,1995-01-11
7437,19,POPLATEK TYDNE,1997-08-08
1478,5,POPLATEK MESICNE,1996-10-30
2613,26,POPLATEK MESICNE,1993-10-03
1613,1,POPLATEK MESICNE,1995-09-13
1521,74,POPLATEK MESICNE,1996-04-04
4408,71,POPLATEK TYDNE,1994-04-11
2501,30,POPLATEK MESICNE,1994-02-26
1834,62,POPLATEK MESICNE,1993-08-03
4091,9,POPLATEK MESICNE,1997-08-04
3823,74,POPLATEK MESICNE,1995-04-19
6281,56,POPLATEK MESICNE,1993-06-08
2653,66,POPLATEK MESICNE,1997-01-08
1209,23,POPLATEK MESICNE,1997-10-23
1093,54,POPLATEK MESICNE,1996-01-14
7614,62,POPLATEK MESICNE,1995-02-08
101,35,POPLATEK MESICNE,1996-04-16
2395,3,POPLATEK MESICNE,1996-06-24
531,31,POPLATEK MESICNE,1995-08-18
1878,52,POPLATEK TYDNE,1994-09-13
705,35,POPLATEK MESICNE,1997-07-14
2700,74,POPLATEK MESICNE,1993-11-08
1631,10,POPLATEK MESICNE,1996-09-27
11079,16,POPLATEK MESICNE,1995-11-10
5632,5,POPLATEK TYDNE,1994-11-15
3218,41,POPLATEK MESICNE,1993-11-14
