disp_id,client_id,account_id,type
1,1,1,OWNER
9,9,7,OWNER
12,12,9,OWNER
17,17,13,OWNER
18,18,13,DISPONENT
20,20,15,OWNER
24,24,18,OWNER
26,26,20,OWNER
30,30,24,OWNER
32,32,26,OWNER
33,33,27,OWNER
39,39,31,OWNER
40,40,32,OWNER
42,42,34,OWNER
43,43,35,OWNER
53,53,45,OWNER
55,55,47,OWNER
56,56,48,OWNER
57,57,48,DISPONENT
63,63,54,OWNER
64,64,55,OWNER
68,68,59,OWNER
72,72,62,OWNER
76,76,65,OWNER
78,78,67,OWNER
83,83,71,OWNER
84,84,71,DISPONENT
87,87,73,OWNER
89,89,75,OWNER
92,92,78,OWNER
96,96,81,OWNER
101,101,85,OWNER
107,107,90,OWNER
114,114,96,OWNER
115,115,96,DISPONENT
122,122,101,OWNER
124,124,103,OWNER
125,125,104,OWNER
126,126,104,DISPONENT
129,129,107,OWNER
130,130,108,OWNER
132,132,110,OWNER
134,134,112,OWNER
135,135,112,DISPONENT
141,141,117,OWNER
142,142,118,OWNER
146,146,122,OWNER
154,154,129,OWNER
155,155,129,DISPONENT
157,157,131,OWNER
160,160,133,OWNER
169,169,141,OWNER
170,170,141,DISPONENT
173,173,143,OWNER
179,179,149,OWNER
186,186,154,OWNER
192,192,159,OWNER
193,193,160,OWNER
194,194,161,OWNER
195,195,162,OWNER
196,196,162,DISPONENT
201,201,166,OWNER
202,202,167,OWNER
216,216,177,OWNER
218,218,179,OWNER
221,221,181,OWNER
224,224,184,OWNER
225,225,185,OWNER
226,226,186,OWNER
228,228,188,OWNER
229,229,189,OWNER
230,230,190,OWNER
231,231,191,OWNER
235,235,194,OWNER
236,236,195,OWNER
237,237,195,DISPONENT
241,241,199,OWNER
246,246,204,OWNER
247,247,205,OWNER
250,250,207,OWNER
252,252,209,OWNER
255,255,212,OWNER
261,261,216,OWNER
263,263,218,OWNER
267,267,222,OWNER
269,269,224,OWNER
273,273,227,OWNER
276,276,230,OWNER
277,277,230,DISPONENT
278,278,231,OWNER
279,279,231,DISPONENT
282,282,234,OWNER
283,283,234,DISPONENT
284,284,235,OWNER
285,285,236,OWNER
286,286,236,DISPONENT
292,292,241,OWNER
294,294,243,OWNER
305,305,253,OWNER
308,308,255,OWNER
309,309,256,OWNER
315,315,261,OWNER
317,317,263,OWNER
322,322,267,OWNER
323,323,267,DISPONENT
324,324,268,OWNER
326,326,270,OWNER
327,327,270,DISPONENT
329,329,272,OWNER
330,330,273,OWNER
336,336,279,OWNER
337,337,279,DISPONENT
341,341,282,OWNER
342,342,282,DISPONENT
347,347,286,OWNER
348,348,286,DISPONENT
352,352,290,OWNER
358,358,294,OWNER
359,359,295,OWNER
364,364,299,OWNER
369,369,302,OWNER
370,370,303,OWNER
372,372,305,OWNER
373,373,306,OWNER
374,374,307,OWNER
376,376,309,OWNER
380,380,312,OWNER
381,381,313,OWNER
382,382,313,DISPONENT
383,383,314,OWNER
384,384,314,DISPONENT
385,385,315,OWNER
386,386,316,OWNER
392,392,322,OWNER
393,393,322,DISPONENT
397,397,325,OWNER
398,398,326,OWNER
405,405,331,OWNER
406,406,332,OWNER
409,409,335,OWNER
413,413,338,OWNER
414,414,339,OWNER
415,415,339,DISPONENT
418,418,341,OWNER
419,419,342,OWNER
422,422,345,OWNER
424,424,347,OWNER
425,425,348,OWNER
426,426,349,OWNER
427,427,349,DISPONENT
437,437,359,OWNER
441,441,363,OWNER
448,448,368,OWNER
451,451,371,OWNER
452,452,372,OWNER
454,454,374,OWNER
456,456,376,OWNER
458,458,378,OWNER
465,465,385,OWNER
466,466,386,OWNER
467,467,386,DISPONENT
468,468,387,OWNER
471,471,390,OWNER
478,478,396,OWNER
485,485,401,OWNER
492,492,407,OWNER
499,499,413,OWNER
503,503,417,OWNER
508,508,422,OWNER
515,515,428,OWNER
516,516,428,DISPONENT
518,518,430,OWNER
519,519,431,OWNER
522,522,434,OWNER
523,523,435,OWNER
524,524,436,OWNER
525,525,436,DISPONENT
528,528,438,OWNER
534,534,443,OWNER
537,537,446,OWNER
542,542,450,OWNER
543,543,451,OWNER
545,545,453,OWNER
546,546,454,OWNER
550,550,458,OWNER
552,552,460,OWNER
553,553,460,DISPONENT
554,554,461,OWNER
555,555,461,DISPONENT
558,558,464,OWNER
559,559,465,OWNER
561,561,467,OWNER
566,566,471,OWNER
567,567,471,DISPONENT
568,568,472,OWNER
570,570,474,OWNER
577,577,479,OWNER
582,582,484,OWNER
584,584,486,OWNER
587,587,488,OWNER
590,590,491,OWNER
593,593,494,OWNER
605,605,503,OWNER
606,606,504,OWNER
614,614,511,OWNER
618,618,515,OWNER
623,623,519,OWNER
624,624,519,DISPONENT
625,625,520,OWNER
627,627,522,OWNER
628,628,522,DISPONENT
629,629,523,OWNER
631,631,525,OWNER
632,632,526,OWNER
633,633,526,DISPONENT
639,639,531,OWNER
640,640,532,OWNER
643,643,534,OWNER
646,646,537,OWNER
647,647,537,DISPONENT
655,655,544,OWNER
666,666,553,OWNER
669,669,556,OWNER
671,671,558,OWNER
673,673,560,OWNER
677,677,564,OWNER
684,684,570,OWNER
690,690,575,OWNER
691,691,575,DISPONENT
692,692,576,OWNER
693,693,576,DISPONENT
694,694,577,OWNER
698,698,580,OWNER
699,699,581,OWNER
702,702,584,OWNER
706,706,588,OWNER
709,709,591,OWNER
712,712,594,OWNER
713,713,595,OWNER
719,719,600,OWNER
722,722,603,OWNER
724,724,605,OWNER
733,733,611,OWNER
734,734,611,DISPONENT
740,740,616,OWNER
745,745,621,OWNER
746,746,621,DISPONENT
748,748,623,OWNER
749,749,623,DISPONENT
751,751,625,OWNER
752,752,626,OWNER
753,753,626,DISPONENT
756,756,629,OWNER
758,758,631,OWNER
759,759,632,OWNER
769,769,641,OWNER
776,776,647,OWNER
777,777,647,DISPONENT
779,779,649,OWNER
780,780,650,OWNER
785,785,654,OWNER
786,786,655,OWNER
808,808,673,OWNER
812,812,676,OWNER
813,813,677,OWNER
818,818,682,OWNER
822,822,685,OWNER
826,826,689,OWNER
827,827,690,OWNER
828,828,690,DISPONENT
830,830,692,OWNER
831,831,693,OWNER
840,840,700,OWNER
843,843,703,OWNER
846,846,705,OWNER
854,854,712,OWNER
855,855,713,OWNER
858,858,716,OWNER
861,861,718,OWNER
862,862,719,OWNER
873,873,728,OWNER
874,874,729,OWNER
875,875,729,DISPONENT
877,877,731,OWNER
878,878,731,DISPONENT
891,891,743,OWNER
900,900,750,OWNER
906,906,756,OWNER
908,908,758,OWNER
909,909,759,OWNER
915,915,765,OWNER
917,917,767,OWNER
921,921,770,OWNER
924,924,772,OWNER
925,925,773,OWNER
927,927,775,OWNER
937,937,783,OWNER
939,939,785,OWNER
941,941,787,OWNER
946,946,790,OWNER
948,948,791,OWNER
952,952,794,OWNER
956,956,798,OWNER
959,959,800,OWNER
962,962,803,OWNER
978,978,815,OWNER
979,979,815,DISPONENT
990,990,823,OWNER
992,992,825,OWNER
994,994,827,OWNER
995,995,827,DISPONENT
999,999,830,OWNER
1000,1000,830,DISPONENT
1004,1004,834,OWNER
1011,1011,839,OWNER
1014,1014,841,OWNER
1015,1015,842,OWNER
1016,1016,842,DISPONENT
1017,1017,843,OWNER
1018,1018,844,OWNER
1020,1020,846,OWNER
1022,1022,848,OWNER
1024,1024,850,OWNER
1025,1025,851,OWNER
1026,1026,852,OWNER
1027,1027,853,OWNER
1028,1028,853,DISPONENT
1032,1032,857,OWNER
1033,1033,857,DISPONENT
1034,1034,858,OWNER
1035,1035,859,OWNER
1036,1036,859,DISPONENT
1048,1048,870,OWNER
1050,1050,872,OWNER
1052,1052,874,OWNER
1053,1053,874,DISPONENT
1055,1055,876,OWNER
1058,1058,879,OWNER
1059,1059,880,OWNER
1060,1060,880,DISPONENT
1065,1065,884,OWNER
1066,1066,885,OWNER
1081,1081,898,OWNER
1082,1082,899,OWNER
1089,1089,904,OWNER
1091,1091,906,OWNER
1092,1092,907,OWNER
1093,1093,908,OWNER
1098,1098,911,OWNER
1100,1100,913,OWNER
1108,1108,919,OWNER
1110,1110,921,OWNER
1112,1112,923,OWNER
1120,1120,930,OWNER
1121,1121,931,OWNER
1127,1127,935,OWNER
1130,1130,938,OWNER
1131,1131,939,OWNER
1132,1132,939,DISPONENT
1133,1133,940,OWNER
1134,1134,940,DISPONENT
1140,1140,945,OWNER
1146,1146,950,OWNER
1147,1147,951,OWNER
1149,1149,953,OWNER
1150,1150,954,OWNER
1151,1151,955,OWNER
1154,1154,958,OWNER
1155,1155,958,DISPONENT
1175,1175,975,OWNER
1176,1176,975,DISPONENT
1181,1181,980,OWNER
1192,1192,988,OWNER
1193,1193,989,OWNER
1196,1196,992,OWNER
1197,1197,993,OWNER
1200,1200,996,OWNER
1208,1208,1004,OWNER
1210,1210,1006,OWNER
1214,1214,1010,OWNER
1219,1219,1015,OWNER
1226,1226,1022,OWNER
1227,1227,1022,DISPONENT
1229,1229,1024,OWNER
1231,1231,1026,OWNER
