loan_id,account_id,date,amount,duration,payments,status
4973,67,1996-05-02,165960,24,6915.0,A
4988,103,1997-12-06,265320,36,7370.0,D
4990,110,1997-09-08,162576,36,4516.0,C
5032,290,1994-11-03,123696,48,2577.0,A
5034,303,1998-05-30,112752,36,3132.0,C
5036,309,1998-11-25,91248,48,1901.0,C
5039,314,1997-05-03,66840,24,2785.0,C
5043,339,1997-12-25,468060,60,7801.0,C
5045,347,1995-05-01,187224,24,7801.0,B
5046,349,1998-09-09,42816,12,3568.0,C
5051,378,1997-10-11,230400,60,3840.0,C
5072,472,1997-04-28,196800,24,8200.0,D
5086,525,1997-07-16,210384,48,4383.0,C
5088,544,1996-08-22,91152,24,3798.0,A
5117,718,1997-08-20,76944,12,6412.0,A
5124,785,1998-02-12,156096,36,4336.0,C
5126,790,1994-07-24,208128,48,4336.0,B
5134,825,1997-02-02,53076,12,4423.0,A
5136,846,1996-07-28,187104,24,7796.0,A
5147,938,1998-05-21,22260,60,371.0,C
5148,940,1996-05-29,284280,60,4738.0,C
5154,993,1998-07-01,108720,60,1812.0,C
5158,1004,1998-04-11,188532,36,5237.0,C
5169,1068,1998-09-24,253200,60,4220.0,C
5174,1093,1997-06-13,385104,48,8023.0,C
5176,1106,1994-11-12,192552,24,8023.0,B
5189,1166,1994-02-07,149040,48,3105.0,A
5206,1242,1997-09-07,128544,24,5356.0,C
5207,1244,1997-02-28,35904,48,748.0,C
5208,1247,1995-03-16,99696,48,2077.0,D
5209,1250,1996-11-25,182640,48,3805.0,C
5221,1284,1998-12-05,52512,12,4376.0,C
5229,1329,1997-09-06,23520,12,1960.0,A
5265,1498,1998-10-07,165780,60,2763.0,C
5270,1528,1997-07-21,191088,48,3981.0,C
5282,1583,1996-08-24,388512,48,8094.0,D
5285,1603,1994-02-06,78936,12,6578.0,A
5310,1762,1995-04-28,248148,36,6893.0,A
5318,1808,1998-09-30,385584,48,8033.0,C
5320,1819,1998-01-11,143676,36,3991.0,C
5334,1876,1998-09-10,209040,24,8710.0,C
5343,1906,1997-10-08,44952,24,1873.0,C
5350,1967,1996-04-21,249312,48,5194.0,C
5354,2000,1998-07-14,290820,60,4847.0,C
5360,2035,1998-01-25,176328,36,4898.0,C
5367,2064,1997-08-26,83628,36,2323.0,C
5369,2080,1997-09-12,214596,36,5961.0,C
5385,2143,1996-09-09,71460,36,1985.0,C
5389,2165,1997-08-22,78600,24,3275.0,C
5446,2334,1997-08-04,48312,24,2013.0,C
5449,2343,1995-11-04,99336,24,4139.0,A
5450,2345,1994-12-11,199680,60,3328.0,C
5464,2419,1995-01-30,95808,12,7984.0,A
5486,2516,1997-06-13,466608,48,9721.0,C
5494,2572,1996-06-13,360000,48,7500.0,C
5527,2728,1998-06-15,156420,60,2607.0,C
5531,2753,1997-09-30,66432,24,2768.0,C
5532,2754,1997-05-04,335280,48,6985.0,C
5533,2762,1994-07-05,111384,24,4641.0,A
5563,2912,1996-02-29,380160,60,6336.0,C
5568,2933,1994-05-17,272520,60,4542.0,C
5586,2994,1996-09-14,48744,36,1354.0,C
5593,3037,1996-04-18,277884,36,7719.0,D
5595,3050,1994-09-02,82896,12,6908.0,A
5611,3115,1996-11-15,321180,60,5353.0,C
5616,3143,1998-05-15,130896,24,5454.0,C
5638,3249,1997-08-27,68124,12,5677.0,A
5674,3418,1997-06-10,207264,48,4318.0,C
5681,3448,1997-10-20,68664,24,2861.0,C
5682,3455,1997-03-07,67464,12,5622.0,A
5706,3608,1996-05-24,161496,36,4486.0,C
5731,3711,1997-11-05,460980,60,7683.0,D
