id,first_name,last_name,gender
5,Antonio,'El de Chipiona',M
78,Tørres,Aadland,M
92,Lee,Aaker,M
150,Brian,Aaron,M
172,Sam (I),Aaron,M
194,Karl Johan,Aarsæther,M
249,Ignasi,Abadal,M
270,Dimitar,Abadzhiev,M
373,Gassan,Abbas,M
395,Stefano,Abbati,M
473,Jack,Abbott,M
480,John (I),Abbott,M
545,Pavel,Abdalov,M
713,Aleksandr,Abdulov,M
756,Nômaru,Abe,M
784,Ramzi,Abed,M
810,Ingo,Abel,M
831,Walter,Abel,M
949,Mikhail,Abesadze,M
962,Franziskus,Abgottspon,M
980,Zaenal,Abidin,M
1019,Albert,Able,M
1088,Oulage,Abour,M
1108,Falconer,Abraham,M
1176,Peter,Abrahamson,M
1232,Zachary Scott,Abramowitz,M
1311,Fidel,Abrego,M
1326,Danny,Abreu,M
1388,Lee,Absolom,M
1391,Ab,Abspoel,M
1407,Ahmad,Abu Sal'oum,M
1440,Yousef,Abuhamdeh,M
1508,Luis,Accinelli,M
1526,Stefano,Accorsi,M
1563,Ricardo,Acero,M
1599,Luis,Aceves Castañeda,M
1618,Olivier,Achard,M
1637,James (II),Acheson,M
1694,Dejan,Acimovic,M
1718,Bruce,Ackerman,M
1722,Forrest J,Ackerman,M
1763,Joss,Ackland,M
1769,David,Ackles,M
1792,Wolf,Ackva,M
1809,Art,Acord,M
1822,Armando (I),Acosta,M
1859,Juan,Acosta,M
1877,Rodolfo (I),Acosta,M
1890,Jay,Acovone,M
1891,Antonio,Acqua,M
1893,Francesco,Acquaroli,M
1919,Wallace,Acton,M
1927,Eddie,Acuff,M
1960,Aleksandr,Adabashyan,M
1994,Jack,Adair,M
2003,Robert,Adair,M
2005,Robyn,Adair,M
2024,Ricardo,Adalid,M
2035,Dietrich,Adam,M
2073,Tim,Adam,M
2078,Blair Kenneth,Adamache,M
2162,Arthur (I),Adams,M
2200,Casey (I),Adams,M
2229,Dave (I),Adams,M
2251,Don (I),Adams,M
2264,Ed (I),Adams,M
2270,Ernie (I),Adams,M
2381,Lionel,Adams,M
2384,Lowden,Adams,M
2399,Mason,Adams,M
2407,Michael (VI),Adams,M
2506,Tom (I),Adams,M
2522,W.L.,Adams,M
2557,Frank (I),Adamson,M
2583,Victor,Adamson,M
2600,Rafi,Adar,M
2726,Otto,Adelby,M
2949,Jay,Adler,M
2966,Matt,Adler,M
2978,Robert (I),Adler,M
3049,Frank,Adonis,M
3100,Max,Adrian,M
3140,Robinson Frank,Adu,M
3225,Ben,Affleck,M
3267,Kleber,Afonso,M
3336,John,Agar,M
3355,Bram,Agaston,M
3414,Jim,Agenbroad,M
3451,John,Aggrey,M
3556,Franco,Agostini,M
3566,Carlos,Agostí,M
3709,Antonio (I),Aguilar,M
3741,Gustavo,Aguilar,M
3805,Francisco,Aguilera,M
3855,José Luis (I),Aguirre,M
3906,Gábor,Agárdi,M
3971,Tim,Ahern,M
3974,Brian,Aherne,M
4043,Börje,Ahlstedt,M
4153,Byeong-kyeong,Ahn,M
