id,first_name,last_name
52,Paul,Abascal
124,Ramzi,Abed
149,Don,Abernathy
219,Ivan,Abramson
367,Peter (I),Adam
392,Catlin,Adams
455,George,Ade
489,André José,Adler
512,John G.,Adolfi
561,Richard,Afton
621,Alejandro,Agresti
720,Mohsen,Ahmed
729,Hyeon-cheol,Ahn
823,Lutfu,Akat
1116,Grigori,Aleksandrov
1160,Jason (I),Alexander
1247,Osman,Ali
1317,Debbie,Allen
1446,Jaime,Alonso de Linaje
1621,Arsevir,Alyanak
1657,Henrique,Amaral
1674,Rodney,Amateau
1688,Patrice,Ambard
1719,Gianni,Amelio
1745,Jorge,Amezquita
1812,Yves,Amoureux
1932,Thom (I),Andersen
1958,Gilbert M. 'Broncho Billy',Anderson
2099,Valerio,Andrei
2156,Diana,Andringa
2163,Bonnie,Andrukaitis
2326,Franz,Antel
2339,Joseph (II),Anthony
2448,Shinji,Aoyama
2458,Oscar,Apfel
2473,Stephen C.,Apostolof
2502,Sallie,Aprahamian
2624,Roscoe 'Fatty',Arbuckle
2629,Alexandre,Arcady
2643,George,Archainbaud
2776,Nizamettin,Ariç
2859,Vic,Armstrong
2869,Fabián,Arnaud
2871,Étienne,Arnaud
2995,Michael,Arslan
3016,Karen,Arthur
3034,Alberto,Arvelo Mendoza
3052,Carlos,Arévalo
3092,J.M.,Asensio
3124,Arthur,Ashley
3129,Helmut,Ashley
3233,Frédéric,Astruc
3265,Peter,Atencio
3294,Thomas (I),Atkins
3376,Jeffrey (I),Auerbach
3477,Pupi,Avati
3503,Charles (I),Avery
3507,Tex,Avery
3525,Meiert,Avis
3586,Jean,Aymé
3589,Georges,Ayotte
3689,Ramanandam,B.V.
3699,Vijaya,Baapineedu
3742,Oleg,Babitskyj
3778,John,Bacchus
3802,Rhett,Bachner
3839,Clarence G.,Badger
3914,King (I),Baggot
3951,Fax,Bahr
3965,Jo,Baier
4114,Richard Foster,Baker
4117,Roy Ward,Baker
4133,Myriam,Bakir
4144,Ralph,Bakshi
4157,Aleksei,Balabanov
4221,Gian Vittorio,Baldi
4231,Richard,Balducci
4251,Rafael (I),Baledón
4287,Ian (I),Ball
4337,Erik,Balling
4353,Béla,Balogh
4366,Jeff,Balsmeyer
4443,Pål,Bang-Hansen
4499,Leedham,Bantock
4525,Stanislav,Barabas
4562,Norberto,Barba
4595,Joseph,Barbera
4690,Fred,Bargain
4714,Sooraj R.,Barjatya
4726,Clive,Barker
4728,David (I),Barker
4738,Reginald,Barker
4774,Joseph John,Barmettler
4829,Keith,Barnfather
4858,Jean,Baronnet
4944,Henry,Barrial
4972,Arthur (I),Barron
4987,Hélio,Barroso
