director_id,genre,prob
52,Comedy,0.666667
52,Drama,0.333333
52,Short,0.666667
52,Thriller,0.333333
124,Crime,0.375
124,Documentary,0.25
124,Drama,0.125
124,Family,0.125
124,Horror,0.5
124,Mystery,0.75
124,Short,0.625
124,Thriller,0.5
149,Drama,0.333333
149,Music,0.333333
149,Short,0.333333
149,Thriller,0.333333
219,Drama,1.0
367,Adventure,0.111111
367,Crime,0.777778
367,Drama,0.777778
367,Family,0.111111
392,Comedy,0.666667
392,Drama,0.333333
392,Family,0.333333
455,Comedy,0.666667
455,Short,1.0
489,Comedy,0.5
489,Musical,0.5
489,Short,0.5
512,Adventure,0.0175439
512,Comedy,0.245614
512,Crime,0.0877193
512,Drama,0.614035
512,Fantasy,0.0175439
512,Musical,0.0175439
512,Mystery,0.0175439
512,Romance,0.0877193
512,Short,0.210526
512,War,0.0175439
512,Western,0.0350877
561,Comedy,1.0
621,Comedy,0.157895
621,Documentary,0.0526316
621,Drama,0.684211
621,Romance,0.0526316
621,Short,0.263158
621,War,0.0526316
720,Comedy,1.0
729,Action,0.138889
729,Comedy,0.0277778
729,Crime,0.0833333
729,Drama,0.861111
729,Romance,0.111111
729,Thriller,0.0555556
729,War,0.0833333
823,Adventure,0.163636
823,Comedy,0.0545455
823,Crime,0.109091
823,Drama,0.818182
823,Musical,0.0181818
823,Romance,0.290909
823,Sci-Fi,0.0181818
823,Thriller,0.0181818
823,War,0.0363636
1116,Comedy,0.375
1116,Documentary,0.125
1116,Drama,0.3125
1116,Music,0.0625
1116,Musical,0.3125
1116,Romance,0.0625
1116,Sci-Fi,0.0625
1116,Short,0.1875
1116,War,0.125
1160,Action,0.5
1160,Comedy,1.0
1160,Drama,0.5
1247,Documentary,0.2
1247,Drama,0.6
1247,Romance,0.4
1247,Short,0.4
1317,Comedy,0.2
1317,Drama,0.6
1317,Family,0.4
1317,Musical,0.4
1446,Horror,1.0
1446,Short,1.0
1621,Adventure,0.0625
1621,Comedy,0.15625
1621,Crime,0.03125
1621,Drama,0.5625
1621,Fantasy,0.03125
1621,Romance,0.5625
1657,Comedy,0.444444
1657,Documentary,0.222222
1657,Drama,0.333333
1657,Family,0.111111
1657,Fantasy,0.222222
1657,Horror,0.111111
1657,Musical,0.222222
1657,Short,0.777778
1674,Action,0.0714286
1674,Adventure,0.0714286
1674,Comedy,0.714286
1674,Drama,0.214286
1674,Family,0.0714286
1674,Musical,0.0714286
1674,Sci-Fi,0.0714286
1674,Short,0.0714286
1674,Western,0.0714286
1688,Comedy,1.0
1719,Documentary,0.1
1719,Drama,0.35
1719,Family,0.05
1719,Short,0.6
1745,Documentary,1.0
1745,Musical,0.25
1745,Short,0.75
1812,Comedy,0.333333
1812,Drama,0.666667
1932,Documentary,1.0
1958,Adventure,0.00874636
1958,Comedy,0.198251
1958,Crime,0.00291545
1958,Drama,0.0379009
1958,Romance,0.0116618
1958,Short,0.918367
1958,Western,0.769679
2099,Short,1.0
2156,Documentary,1.0
2156,Short,0.2
2163,Documentary,1.0
2326,Action,0.0444444
2326,Adventure,0.0444444
2326,Comedy,0.755556
2326,Drama,0.177778
2326,Music,0.0444444
2326,Musical,0.111111
2326,Romance,0.0888889
2326,Thriller,0.0444444
2326,Western,0.0222222
2339,Comedy,0.5
2339,Drama,0.5
2339,Romance,0.333333
2339,Thriller,0.166667
2339,Western,0.166667
2448,Comedy,0.142857
2448,Crime,0.285714
2448,Documentary,0.142857
2448,Drama,0.428571
2448,Romance,0.142857
