id,name,year,rank
64078,Cinderella,1997,
146416,Histoire(s),1998,
73911,Crouching Waiter Hidden Chef,2003,
99316,Elke Maravilha Contra o Homem Atmico,1978,
29256,Bangkok Story,1989,
256527,Piranha,1978,5.4
194690,Lost,1955,5.7
267383,Puppy Love,2001,
181335,Krl a zena,1967,
309570,"Soulier trop petit, Le",1909,
33826,Belyj royal',1968,
200455,"Magnets, The",1914,
126447,Gestern gibt es nicht,2003,
208682,Mayonaka no hanazono,1967,
22198,Asphyxiating Uma,2002,
308440,Son-Rise: A Miracle of Love,1979,
139996,Hathkadi,1995,
269979,Quite Ugly One Morning,2004,
97417,Eddie's Little Love Affair,1915,
197409,Lumpacivagabundus,1936,4.8
253506,Personality Parade,1938,6.1
354487,"Village 'Neath the Sea, The",1914,
231970,Night Into Morning,1951,6.5
242394,"Oompahs, The",1952,
150882,House of Cards,1917,
234895,"Nor-way to Broadcasting, The",1976,
182999,L.I.E.,2001,7.2
175496,Kenedi se vraca kuci,2003,
311888,Spraggue,1984,
138478,"Hanoi Hilton, The",1987,5.2
65044,Civilization,1916,6.3
278169,Riff-Raff,1990,7.1
127118,Ghost House,1917,
337607,Trail of Terror,1935,
236435,"Nueva Cenicienta, La",1964,4.4
16712,"Angel of Poverty Row, The",1917,
48709,"Buddy Holly Story, The",1978,7.1
139987,"Hatfields and the McCoys, The",1975,
59302,Chaos (2001/II),2001,
39645,"Black Lash, The",1952,5.6
357445,Vstrecha na Elbe,1949,
364913,Wie in schlechten Romanen,1964,
159075,Indian Dream,2003,
171384,"Justicia tiene doce aos, La",1973,
157378,Imgenes del deporte N 38,1971,
109653,"Fatal Hour, The",1908,
203271,Man of a Thousand Faces,2003,
369151,"Wunderbare Lge der Nina Petrowna, Die",1929,7.1
150136,Hot Dogs: Wau - wir sind reich!,1999,2.3
66258,"Co je vm, doktore?",1984,6.7
169041,Joop slaat weer toe,1970,
238721,Officer Number Thirteen,1925,
35847,Bez naziva,1971,
245078,Out of Luck (1921/II),1921,
198205,Lgrimas robadas,1954,
170139,Jugeoseo malhaneun yeoin,1974,
248048,"Papajides, Oi",1954,
314685,Sticks and Stones,2004,
299483,Shock: Diverso Diablica,1986,4.3
157206,"Important Witness, The",1933,
58365,Chaal Baaz,1980,
120271,Friendships Field,1995,7.4
297301,Shan ju hua,1982,
328685,Tervetuloa aamukahville eli tottako toinen puoli,1952,
224688,"Mystery Man, The",1923,
372509,"Young Children's Concert with Raffi, A",1985,
45640,"Boys Next Door, The",1996,
201954,Makkhee Choos,1956,
314697,Sticky Fingers,1988,4.7
24479,"Authentique procs de Carl-Emmanuel Jung, L'",1966,
218456,"Montagna del dio cannibale, La",1978,4.7
329517,That Sunday,1994,
269200,Que bonita familia: Pap 2000,2000,
193824,Lonesome Lenny,1946,8.1
263740,Primal Fear,1996,7.4
222636,Murder in Greenwich,2002,
352420,"Verne Miller Story, The",1987,4.9
15093,"Amour, L'",1970,5.9
234301,Noch pered Rozhdestvom,1913,8.8
278310,Rigoletto (1981/I),1981,
374353,Zeisters,1986,1.7
52445,Call Me Dragon,1978,
29086,"Bandit's Baby, The",1925,
84505,Deugeoun bada,1992,
233771,No Means No,1988,
98346,Einspruch III,2002,
79612,David's Walls,2001,
88909,Doctor Satn,1966,
86801,Dime por qu me dejas?,1979,
114679,"Five People You Meet in Heaven, The",2004,
257750,Playing Dead,2000,1.4
118438,Fourteenth Lover,1922,
365096,Wig-Wag,1935,
282668,"Royal Romance, A",1917,
358484,Waking Up in Reno,2002,5.3
128333,"Girl Must Live, A",1939,5.7
123708,Gang War,1958,5.9
10341,Alexander the Great,1968,
162452,Irren ist sexy,2004,
55486,Caro Nanni,1993,
251553,Pecado,1962,
32692,Before Dawn,1933,6.2
248889,Parenti serpenti,1992,7.1
199086,Mackenzie King and the Conscription Crisis,1991,
119736,Fremrykket mde,1964,
246308,Pad Italije,1981,6.5
3018,"70,000 Witnesses",1932,
85028,"Devil's Jest, The",1954,
290350,School for Swing,1937,
251434,"Peachbasket Hat, The",1909,
231675,Niemandsland,1931,6.0
351877,"Ventures of Marguerite, The",1915,
5706,Aci tesadf,1966,
354183,Viewfinder,2000,
252974,"Perfect Specimen, The",1999,5.4
247559,Panic,2000,7.0
72722,Crazy Love,2004,8.8
67725,Combat Killers,1968,
281790,Rosaura a las 10,1958,7.8
339616,Tricky Trout,1961,
325395,Tatort - Alles Theater,1989,
143105,Her Father's Son,1916,
98370,Einzug ins Paradies,1987,
37154,Big Jim's Heart,1915,
316879,Strict ang parents ko,1997,
333317,Time Out for Romance,1937,
102251,Er De med?,1954,
129188,Gladiator Eroticvs: The Lesbian Warriors,2001,
270676,Radio West,2003,3.1
118,'Halloween' Unmasked 2000,1999,
251828,Peg o' My Heart,1933,5.9
32518,Bedroom Doors,2003,
368486,"World of Tomorrow, The",1985,7.8
65228,Clash of the Titans,1981,6.2
167353,Jhoothi,1987,
98600,Eko eko azaraku,1995,4.8
15014,"Amour dans l'me, L'",1993,
354539,Village Sunday,1960,
57421,Cazador de cabezas,1992,
183728,Lady Killer,1933,7.2
