actor_id,movie_id,role
5,135644,Himself
78,298650,
92,148840,Johnny 'Small Warrior' Lowe
150,185764,Michael
172,93958,Doorman
194,298650,Himself
249,236458,Vidal Gandolfo
270,129649,
373,300565,Spy
395,313179,The Patient
473,359887,
480,262072,Kaspar Andropolous
545,76709,
713,180738,
756,122957,Himself (interview segment)
784,65427,Jimmy
810,126447,Gerhard Schmidt
831,306490,Col. Moore
949,344269,Datvia
962,211847,
980,77910,
1019,84833,M.C. Announcer
1088,370013,Marco
1108,71633,Lefty
1176,44474,Gorilla Team
1232,10156,Restaurant Patron
1311,50137,
1311,103482,
1326,317309,Bonnie & Clyde Musical Audien
1388,18953,Man on Street/Voice Over
1391,67934,Maas
1407,300565,Abu Yussef
1440,30678,Hotel Tenants
1508,2685,
1526,313179,The Patient
1563,54321,
1599,228902,Parricide
1618,198348,Publiciste
1637,138478,Cummins
1694,270676,Il Glabro
1718,62037,Zaccaro
1722,23448,Man on Phone #1
1763,7164,The Prussian
1763,133995,
1769,276724,Peanuts
1792,323123,Engelhardt
1809,31204,Sioux Brave
1822,108994,
1859,2685,
1877,148840,Silva
1890,118548,Chuck
1891,199820,
1893,10648,Mancini's Man 1
1919,206476,Newhouse
1927,330241,Fred (Drugstore Clerk)
1960,270221,A film director
1994,253898,Guard
2003,98166,Albert Pettigrew
2003,253898,Prisoner
2003,278727,Bartender
2005,61384,
2024,307805,
2024,355745,
2035,225281,
2073,222636,Morris Banks
2078,116002,Missionary 3
2162,247576,Chauffeur
2200,308440,Raun Kaufman
2229,78882,Deputy
2251,195483,Donald Richardson
2264,190572,Cole Younger
2270,128440,Shell game player
2270,163485,Ed (building & looan deposit 
2270,203064,Shorty Bates
2270,249267,Manelli
2270,276724,Driver
2270,361638,Watson
2381,241629,Capt. John Gregory
2384,30277,Footman
2399,138822,The Banker with Chris
2407,308440,Raun Kaufman
2506,274000,Owen
2522,256116,
2557,89742,Detective supervisor
2583,278004,Townsman
2600,6082,
2726,118696,Editor at Lillköpings-Posten
2726,316909,Janitor at City Hall
2949,3277,Christopher
2966,79716,Truck Radio Announcer
2978,272956,Billy Dent
3049,340824,Frankie
3100,205292,
3140,117091,Locker Room Attendant
3225,76562,Lawrence Bowen
3267,212135,
3336,23448,Dr. Clete Ferguson
3336,280158,Tom Baxter
3355,302965,Principe Piet
3414,325995,Bartender
3451,373711,
3556,289332,
3566,88909,
3566,334651,
3709,212344,
3741,103482,
3805,108994,
3855,13182,
3906,354442,Smith
3971,297763,Kevin
3974,362112,Henry Pepper
4043,122448,Henning
4153,294479,
4212,349141,"Hugo Turhapuro, Uunon isä"
4261,102327,Mopoilija/markkinamies
4297,309829,Card player
4382,355810,Driver
4400,198026,Specialty Dancer
4421,58856,
4421,71948,Sergeant of Post
4464,59341,Count Van Tuyle
4464,240958,Robert Strickland
4465,42531,Barbershop Quartet
4548,37154,
4553,82756,Youth
4591,17375,
4591,359153,
4610,175496,Himself
4613,4198,
4637,296510,Fire Three 1
4654,296510,Kawai
4671,295505,
4758,109857,Frantic Father #1
4782,33826,
4820,161727,Weller
4824,157290,Cop
4846,39108,Sheriff Lobo
4846,67682,Ben Lane
4882,118,Himself
4893,58924,Chanakya
4893,228755,
4893,271903,
4893,273759,
4912,191305,
4941,180738,
4960,157342,
5007,83333,
5138,249885,Wiesiolowski
5142,79716,Venezuelan Delegate
5178,149322,Mark
5375,373798,
5434,58778,Bartender
5529,270724,Agent
5530,42140,Himself/Singer
5531,227685,
5538,232397,Man in Bar
5587,183728,Director
5587,362752,"Rigo, Restaurant Owner"
5599,204512,Morris Flint alias Sherlock H
5626,341973,"Theo, magiker"
5627,133995,Nico Tamasis
5661,44474,Plain Clothes Officer
5670,317309,Outta Sight Singer #1
5774,163485,Sam Wainwright
5791,88199,
5876,42531,"Robert Tyre Jones, Sr."
5890,301980,Bobby O'Brien
5914,55378,Juez de ronda
5925,2616,Agent Fanning
5968,287445,
6058,335287,Himself
6068,96332,
6069,205137,
6096,19298,Billy Shay
6131,278169,Director
6136,26019,
6206,149089,
6213,38813,Stevens
6213,195579,Court Attendant
6263,138822,Ryan
6265,366882,Searchlight
6341,60396,
6367,270724,
6379,156905,Priest on Bicycle
6402,244651,
6416,232668,Zotov
6448,246346,Himself (with Tsar Nicholas)
6478,129649,
6513,287445,
6513,355745,Martin Duran
6528,125682,
6534,138478,Maj. Ngo Doc (Cat)
6553,246861,Pajama Boy
6598,168725,Old Man
6619,270440,Johnathon Kipplinger
6630,35276,Little Dick
6630,169228,Tommy Josselyn
6649,311080,
6672,189982,Doctor
6679,95510,Man #1
6706,330514,Man at Railroad Station
6711,155209,Kelvin
6712,56861,Fat man in audience
6762,64078,Lionel
6762,171191,Radio Announcer
6772,206476,Howard Shipley
6809,264064,John Booth at 12
6828,231919,Assistant D.A.
6836,117091,Waldorf Pianist
6870,116193,Fritz
6870,145814,Henchman
6900,277949,Rippy
6936,223389,
6969,42633,Alcalde
6997,217216,Abraham
7025,200334,Himself
7029,104930,Ernesto
7112,135644,(himself)
7114,209034,
7141,137146,Gépkocsivezeõ
7170,374353,Milton
7215,197808,Mörner's Assistant
7218,377894,
7290,116985,Tone
7322,10550,Himself
7355,351402,Ali
7399,92555,
7422,179109,Porucnik
7558,84521,Patrick
7779,237568,Big Judson
7779,304801,Col. Doharney
7779,309476,Ambrose
7811,13742,Himself
7855,260327,Himself
7902,92112,Security Guard
7918,245642,
7930,302709,Sheriff Teasley
7966,141009,1st Smith (of Smith & Smith)
7966,278727,Fire Chief
8041,54657,Lenny
8152,239762,Rex Allen
8164,309829,Army corporal
8251,68027,Himself
8274,186416,Mojave Kid
8274,308898,Sheriff
8282,89742,Bartender
8359,338982,Himself
